,Name,Country,lat,long,Max temp,Humidity,Cloudiness,Wind Speed,Date Rec
131,mataura,pf,-63.74,-151.16,37.76,95.0,31.0,0.96,1602520865
132,havre-saint-pierre,ca,52.57,-61.71,46.4,52.0,1.0,12.75,1602520608
133,omsukchan,ru,60.09,155.92,30.11,80.0,15.0,5.93,1602520866
134,narsaq,gl,86.48,-59.94,55.4,32.0,75.0,9.17,1602520866
135,bredasdorp,za,-84.45,23.43,66.2,48.0,95.0,20.8,1602520593
136,busselton,au,-80.73,84.36,55.0,84.0,58.0,10.16,1602520855
137,punta arenas,cl,-59.11,-101.68,46.4,75.0,90.0,8.05,1602520855
138,constitucion,mx,18.79,-121.23,66.04,45.0,0.0,14.85,1602520866
140,puerto ayora,ec,-16.99,-106.93,77.0,65.0,20.0,20.8,1602520858
141,mar del plata,ar,-49.19,-43.44,64.4,68.0,20.0,8.05,1602520738
142,bredasdorp,za,-42.23,20.43,66.2,48.0,95.0,20.8,1602520593
143,port alfred,za,-89.19,56.5,62.71,75.0,16.0,18.37,1602520866
144,thompson,ca,69.23,-89.09,39.2,80.0,75.0,12.75,1602520866
145,gorontalo,id,2.41,121.2,75.79,87.0,23.0,2.01,1602520867
146,san cristobal,ec,-4.66,-87.62,89.6,46.0,40.0,23.04,1602520867
147,ribeira grande,pt,27.87,-35.02,69.8,64.0,75.0,6.93,1602520867
148,xalpatlahuac,mx,17.16,-98.89,73.38,71.0,77.0,1.99,1602520867
149,rikitea,pf,-88.87,-134.03,74.23,75.0,36.0,14.99,1602520592
150,kalawit,ph,8.43,121.85,79.18,82.0,100.0,1.88,1602520867
151,bredasdorp,za,-69.0,24.17,66.2,48.0,95.0,20.8,1602520593
152,dieburg,de,49.89,8.87,51.01,90.0,57.0,4.29,1602520867
153,diamantino,br,-12.86,-55.13,101.48,26.0,61.0,5.19,1602520867
154,toledo,es,39.43,-4.2,66.0,30.0,0.0,9.93,1602520867
155,punta arenas,cl,-60.12,-106.61,46.4,75.0,90.0,8.05,1602520855
156,ushuaia,ar,-82.25,-53.41,48.2,81.0,75.0,17.22,1602520854
157,bredasdorp,za,-56.51,18.64,66.2,48.0,95.0,20.8,1602520593
158,ushuaia,ar,-89.8,-37.88,48.2,81.0,75.0,17.22,1602520854
159,namatanai,pg,0.0,157.49,79.56,83.0,10.0,6.6,1602520868
160,narsaq,gl,84.15,-64.57,55.4,32.0,75.0,9.17,1602520866
161,kaitangata,nz,-82.61,177.66,46.0,82.0,68.0,1.01,1602520855
